,Game,Date / Box Score,Opponent,Score,Decision,Record
0,1,04-04-2010,at Boston Red Sox,7-9,L,0-1
1,2,04-06-2010,at Boston Red Sox,6-4,W,1-1
2,3,04-07-2010,at Boston Red Sox,3-1,W,2-1
3,4,04-09-2010,at Tampa Bay Rays,3-9,L,2-2
4,5,04-10-2010,at Tampa Bay Rays,10-0,W,3-2
5,6,04-11-2010,at Tampa Bay Rays,7-3,W,4-2
6,7,04-13-2010,vs Los Angeles Angels,7-5,W,5-2
7,8,04-14-2010,vs Los Angeles Angels,3-5,L,5-3
8,9,04-15-2010,vs Los Angeles Angels,6-2,W,6-3
9,10,04-16-2010,vs Texas Rangers,5-1,W,7-3
10,11,04-17-2010,vs Texas Rangers,7-3,W,8-3
11,12,04-18-2010,vs Texas Rangers,5-2,W,9-3
12,13,04-20-2010,at Oakland Athletics,7-3,W,10-3
13,14,04-21-2010,at Oakland Athletics,3-1,W,11-3
14,15,04-22-2010,at Oakland Athletics,2-4,L,11-4
15,16,04-23-2010,at Los Angeles Angels,4-6,L,11-5
16,17,04-24-2010,at Los Angeles Angels,7-1,W,12-5
17,18,04-25-2010,at Los Angeles Angels,4-8,L,12-6
18,19,04-27-2010,at Baltimore Orioles,4-5,L,12-7
19,20,04-28-2010,at Baltimore Orioles,8-3,W,13-7
20,21,04-29-2010,at Baltimore Orioles,4-0,W,14-7
21,22,04-30-2010,vs Chicago White Sox,6-4,W,15-7
22,23,05-01-2010,vs Chicago White Sox,6-7,L,15-8
23,24,05-02-2010,vs Chicago White Sox,12-3,W,16-8
24,25,05-03-2010,vs Baltimore Orioles,4-1,W,17-8
25,26,05-04-2010,vs Baltimore Orioles,4-1,W,18-8
26,27,05-05-2010,vs Baltimore Orioles,7-5,W,19-8
27,28,05-07-2010,at Boston Red Sox,10-3,W,20-8
28,29,05-08-2010,at Boston Red Sox,14-3,W,21-8
29,30,05-09-2010,at Boston Red Sox,3-9,L,21-9
30,31,05-10-2010,at Detroit Tigers,4-5,L,21-10
31,32-I,05-12-2010,at Detroit Tigers,0-2,L,21-11
32,33-II,05-12-2010,at Detroit Tigers,8-0,W,22-11
33,34,05-13-2010,at Detroit Tigers,0-6,L,22-12
34,35,05-14-2010,vs Minnesota Twins,8-4,W,23-12
35,36,05-15-2010,vs Minnesota Twins,7-1,W,24-12
36,37,05-16-2010,vs Minnesota Twins,3-6,L,24-13
37,38,05-17-2010,vs Boston Red Sox,11-9,W,25-13
38,39,05-18-2010,vs Boston Red Sox,6-7,L,25-14
39,40,05-19-2010,vs Tampa Bay Rays,6-10,L,25-15
40,41,05-20-2010,vs Tampa Bay Rays,6-8,L,25-16
41,42,05-21-2010,at New York Mets,2-1,W,26-16
42,43,05-22-2010,at New York Mets,3-5,L,26-17
43,44,05-23-2010,at New York Mets,4-6,L,26-18
44,45,05-25-2010,at Minnesota Twins,1-0,W,27-18
45,46,05-26-2010,at Minnesota Twins,3-2,W,28-18
46,47,05-27-2010,at Minnesota Twins,2-8,L,28-19
47,48,05-28-2010,vs Cleveland Indians,8-2,W,29-19
48,49,05-29-2010,vs Cleveland Indians,11-13,L,29-20
49,50,05-30-2010,vs Cleveland Indians,7-3,W,30-20
50,51,05-31-2010,vs Cleveland Indians,11-2,W,31-20
51,52,06-01-2010,vs Baltimore Orioles,3-1,W,32-20
52,53,06-02-2010,vs Baltimore Orioles,9-1,W,33-20
53,54,06-03-2010,vs Baltimore Orioles,6-3,W,34-20
54,55,06-04-2010,at Toronto Blue Jays,1-6,L,34-21
55,56,06-05-2010,at Toronto Blue Jays,2-3,L,34-22
56,57,06-06-2010,at Toronto Blue Jays,4-3,W,35-22
57,58,06-08-2010,at Baltimore Orioles,12-7,W,36-22
58,59,06-09-2010,at Baltimore Orioles,4-2,W,37-22
59,60,06-10-2010,at Baltimore Orioles,3-4,L,37-23
60,61,06-11-2010,vs Houston Astros,4-3,W,38-23
61,62,06-12-2010,vs Houston Astros,9-3,W,39-23
62,63,06-13-2010,vs Houston Astros,9-5,W,40-23
63,64,06-15-2010,vs Philadelphia Phillies,8-3,W,41-23
64,65,06-16-2010,vs Philadelphia Phillies,3-6,L,41-24
65,66,06-17-2010,vs Philadelphia Phillies,1-7,L,41-25
66,67,06-18-2010,vs New York Mets,0-4,L,41-26
67,68,06-19-2010,vs New York Mets,5-3,W,42-26
68,69,06-20-2010,vs New York Mets,4-0,W,43-26
69,70,06-21-2010,at Arizona Diamondbacks,4-10,L,43-27
70,71,06-22-2010,at Arizona Diamondbacks,9-3,W,44-27
71,72,06-23-2010,at Arizona Diamondbacks,6-5,W,45-27
72,73,06-25-2010,at Los Angeles Dodgers,2-1,W,46-27
73,74,06-26-2010,at Los Angeles Dodgers,4-9,L,46-28
74,75,06-27-2010,at Los Angeles Dodgers,8-6,W,47-28
75,76,06-29-2010,vs Seattle Mariners,4-7,L,47-29
76,77,06-30-2010,vs Seattle Mariners,0-7,L,47-30
77,78,07-01-2010,vs Seattle Mariners,4-2,W,48-30
78,79,07-02-2010,vs Toronto Blue Jays,1-6,L,48-31
79,80,07-03-2010,vs Toronto Blue Jays,11-3,W,49-31
80,81,07-04-2010,vs Toronto Blue Jays,7-6,W,50-31
81,82,07-05-2010,at Oakland Athletics,3-1,W,51-31
82,83,07-06-2010,at Oakland Athletics,6-1,W,52-31
83,84,07-07-2010,at Oakland Athletics,6-2,W,53-31
84,85,07-08-2010,at Seattle Mariners,3-1,W,54-31
85,86,07-09-2010,at Seattle Mariners,6-1,W,55-31
86,87,07-10-2010,at Seattle Mariners,1-4,L,55-32
87,88,07-11-2010,at Seattle Mariners,8-2,W,56-32
88,89,07-16-2010,vs Tampa Bay Rays,5-4,W,57-32
89,90,07-17-2010,vs Tampa Bay Rays,5-10,L,57-33
90,91,07-18-2010,vs Tampa Bay Rays,9-5,W,58-33
91,92,07-20-2010,vs Los Angeles Angels,2-10,L,58-34
92,93,07-21-2010,vs Los Angeles Angels,10-6,W,59-34
93,94,07-22-2010,vs Kansas City Royals,10-4,W,60-34
94,95,07-23-2010,vs Kansas City Royals,7-1,W,61-34
95,96,07-24-2010,vs Kansas City Royals,4-7,L,61-35
96,97,07-25-2010,vs Kansas City Royals,12-6,W,62-35
97,98,07-26-2010,at Cleveland Indians,3-2,W,63-35
98,99,07-27-2010,at Cleveland Indians,1-4,L,63-36
99,100,07-28-2010,at Cleveland Indians,8-0,W,64-36
100,101,07-29-2010,at Cleveland Indians,11-4,W,65-36
101,102,07-30-2010,at Tampa Bay Rays,2-3,L,65-37
102,103,07-31-2010,at Tampa Bay Rays,5-4,W,66-37
103,104,08-01-2010,at Tampa Bay Rays,0-3,L,66-38
104,105,08-02-2010,vs Toronto Blue Jays,6-8,L,66-39
105,106,08-03-2010,vs Toronto Blue Jays,2-8,L,66-40
106,107,08-04-2010,vs Toronto Blue Jays,5-1,W,67-40
107,108,08-06-2010,vs Boston Red Sox,3-6,L,67-41
108,109,08-07-2010,vs Boston Red Sox,5-2,W,68-41
109,110,08-08-2010,vs Boston Red Sox,7-2,W,69-41
110,111,08-09-2010,vs Boston Red Sox,1-2,L,69-42
111,112,08-10-2010,at Texas Rangers,3-4,L,69-43
112,113,08-11-2010,at Texas Rangers,7-6,W,70-43
113,114,08-12-2010,at Kansas City Royals,4-3,W,71-43
114,115,08-13-2010,at Kansas City Royals,3-4,L,71-44
115,116,08-14-2010,at Kansas City Royals,8-3,W,72-44
116,117,08-15-2010,at Kansas City Royals,0-1,L,72-45
117,118,08-16-2010,vs Detroit Tigers,1-3,L,72-46
118,119,08-17-2010,vs Detroit Tigers,6-2,W,73-46
119,120,08-18-2010,vs Detroit Tigers,9-5,W,74-46
120,121,08-19-2010,vs Detroit Tigers,11-5,W,75-46
121,122,08-20-2010,vs Seattle Mariners,0-6,L,75-47
122,123,08-21-2010,vs Seattle Mariners,9-5,W,76-47
123,124,08-22-2010,vs Seattle Mariners,10-0,W,77-47
124,125,08-23-2010,at Toronto Blue Jays,2-3,L,77-48
125,126,08-24-2010,at Toronto Blue Jays,11-5,W,78-48
126,127,08-25-2010,at Toronto Blue Jays,3-6,L,78-49
127,128,08-27-2010,at Chicago White Sox,4-9,L,78-50
128,129,08-28-2010,at Chicago White Sox,12-9,W,79-50
129,130,08-29-2010,at Chicago White Sox,2-1,W,80-50
130,131,08-30-2010,vs Oakland Athletics,11-5,W,81-50
131,132,08-31-2010,vs Oakland Athletics,9-3,W,82-50
132,133,09-01-2010,vs Oakland Athletics,4-3,W,83-50
133,134,09-02-2010,vs Oakland Athletics,5-0,W,84-50
134,135,09-03-2010,vs Toronto Blue Jays,7-3,W,85-50
135,136,09-04-2010,vs Toronto Blue Jays,7-5,W,86-50
136,137,09-05-2010,vs Toronto Blue Jays,3-7,L,86-51
137,138,09-06-2010,vs Baltimore Orioles,3-4,L,86-52
138,139,09-07-2010,vs Baltimore Orioles,2-6,L,86-53
139,140,09-08-2010,vs Baltimore Orioles,3-2,W,87-53
140,141,09-10-2010,at Texas Rangers,5-6,L,87-54
141,142,09-11-2010,at Texas Rangers,6-7,L,87-55
142,143,09-12-2010,at Texas Rangers,1-4,L,87-56
143,144,09-13-2010,at Tampa Bay Rays,0-1,L,87-57
144,145,09-14-2010,at Tampa Bay Rays,8-7,W,88-57
145,146,09-15-2010,at Tampa Bay Rays,3-4,L,88-58
146,147,09-17-2010,at Baltimore Orioles,4-3,W,89-58
147,148,09-18-2010,at Baltimore Orioles,11-3,W,90-58
148,149,09-19-2010,at Baltimore Orioles,3-4,L,90-59
149,150,09-20-2010,vs Tampa Bay Rays,8-6,W,91-59
150,151,09-21-2010,vs Tampa Bay Rays,8-3,W,92-59
151,152,09-22-2010,vs Tampa Bay Rays,2-7,L,92-60
152,153,09-23-2010,vs Tampa Bay Rays,3-10,L,92-61
153,154,09-24-2010,vs Boston Red Sox,8-10,L,92-62
154,155,09-25-2010,vs Boston Red Sox,3-7,L,92-63
155,156,09-26-2010,vs Boston Red Sox,4-3,W,93-63
156,157,09-27-2010,at Toronto Blue Jays,5-7,L,93-64
157,158,09-28-2010,at Toronto Blue Jays,6-1,W,94-64
158,159,09-29-2010,at Toronto Blue Jays,4-8,L,94-65
159,160,10-01-2010,at Boston Red Sox,0-0,T,94-65-1
160,161-I,10-02-2010,at Boston Red Sox,6-5,W,95-65-1
161,162-II,10-02-2010,at Boston Red Sox,6-7,L,95-66-1
162,163,10-03-2010,at Boston Red Sox,4-8,L,95-67-1
